Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# N's per 100 kbp
49990_1_83.assembly	100	61	35	32	27	24	5506478	5490184	5435290	5412094	5336928	5248088	75	904698	5500799	57.26	302308	141204	6	13	0.00
49937_1_281.assembly	421	186	100	82	54	32	6111071	6022097	5843015	5706950	5239860	4449664	248	418402	6067076	56.40	104923	44806	14	35	0.00
49989_2_239.assembly	247	95	50	43	26	21	5264215	5210776	5107023	5052187	4760681	4577457	131	626524	5235611	50.44	293581	120174	7	15	0.00
49937_1_258.assembly	131	64	40	35	28	20	5183637	5158256	5105325	5070096	4960702	4691007	82	749446	5172474	50.53	344728	175415	6	11	0.00
49937_1_317.assembly	93	63	34	30	21	16	5405909	5394645	5317524	5290094	5116234	4931756	72	850130	5401058	57.43	382658	271642	5	9	0.00
49989_2_131.assembly	226	100	65	54	39	28	5049520	5011551	4928207	4839215	4613898	4234053	121	376421	5025617	50.62	158772	96208	11	21	0.00
49989_2_241.assembly	136	72	43	39	29	24	5087999	5065156	5000451	4964418	4819255	4655779	91	407650	5077425	50.83	234365	123597	8	15	0.00
49937_1_59.assembly	64	43	29	26	21	16	5217138	5209643	5174714	5158159	5061278	4891206	49	915545	5213978	57.56	431364	212537	4	9	0.00
49937_1_315.assembly	88	57	34	30	26	21	5323063	5314872	5257677	5228998	5161843	4999299	62	1234258	5318132	57.43	331594	127818	5	11	0.00
49937_1_162.assembly	80	49	26	24	22	20	5358688	5345874	5294615	5276835	5239626	5179304	62	671968	5355529	57.32	330792	214767	6	11	0.00
49937_1_338.assembly	186	78	44	34	29	23	5122608	5078449	4999175	4922567	4831950	4618942	113	491984	5103458	50.61	215892	136854	9	16	0.00
49989_2_337.assembly	190	98	68	63	43	31	5324946	5287907	5209752	5171633	4875158	4473049	128	347265	5309080	50.65	167108	82902	13	24	0.00
49937_1_87.assembly	592	191	109	89	62	37	6100551	5968905	5779866	5630234	5162025	4278242	275	301540	6029540	56.42	96698	41284	19	43	0.00
49989_1_63.assembly	133	79	58	55	44	29	4686852	4668882	4620768	4599740	4420761	3843109	88	331657	4675970	50.72	114244	71163	12	25	0.00
49989_2_251.assembly	224	89	49	44	29	22	5083582	5032582	4939906	4902192	4678458	4446711	121	443502	5054905	50.74	256256	126727	8	15	0.00
49937_1_176.assembly	104	58	39	39	37	28	5731461	5715704	5663876	5663876	5627253	5318657	66	529922	5721517	57.01	214823	133736	10	18	0.00
49989_2_307.assembly	251	101	60	46	29	23	5136126	5073261	4979563	4870919	4593585	4373274	152	619529	5109250	50.66	191060	106995	8	17	0.00
49989_2_229.assembly	248	110	65	55	39	28	5504393	5451318	5358717	5294007	5025017	4626171	157	720127	5482044	50.33	191269	87247	10	21	0.00
49937_1_306.assembly	142	78	56	52	42	30	5098721	5073044	5030379	5002888	4850468	4436407	99	646140	5088501	50.66	151958	85096	10	21	0.00
49947_1_20.assembly	248	94	48	40	32	24	5107977	5054539	4948686	4894667	4765012	4490988	130	475687	5079641	50.58	208978	125070	9	17	0.00
49989_2_293.assembly	198	76	49	41	29	20	5110548	5069011	4997784	4949323	4746675	4441223	106	577240	5089446	50.50	226971	130459	7	14	0.00
49989_2_151.assembly	207	91	50	45	35	24	5159731	5108226	5003478	4964638	4781309	4401485	142	373743	5142633	50.48	203097	110291	9	17	0.00
49990_2_99.assembly	247	115	76	64	46	36	5292864	5247152	5167192	5096024	4811480	4446792	142	329226	5266617	50.50	138012	60717	14	27	0.00
49947_1_305.assembly	111	63	46	38	31	25	5359199	5345219	5302168	5241294	5102136	4907763	74	548955	5352121	57.59	226537	116211	8	16	0.00
49989_2_305.assembly	198	100	66	55	40	31	5327577	5289844	5210921	5134651	4925770	4641513	133	400067	5311347	50.65	167772	99069	12	22	0.00
49990_1_146.assembly	126	78	57	46	30	26	5115889	5098113	5051237	4967827	4728318	4594161	91	524561	5107302	50.75	209197	116899	9	17	0.00
49990_2_196.assembly	132	67	46	41	28	21	5057423	5031445	4979655	4943037	4747954	4493913	89	447470	5046553	50.68	246032	156493	8	14	0.00
49947_1_379.assembly	209	82	45	37	31	22	5102786	5051394	4965170	4912260	4798229	4471478	121	491984	5079179	50.57	237084	125082	8	15	0.00
49989_1_199.assembly	179	83	47	37	27	20	5065488	5024890	4944298	4869438	4719393	4483119	120	581838	5049893	50.41	290730	113014	6	13	0.00
49989_2_329.assembly	267	101	50	40	26	19	5251401	5184408	5059054	4985954	4769459	4528007	154	939832	5222280	50.69	270331	144473	5	12	0.00
49989_1_5.assembly	293	122	65	52	31	23	5298723	5225707	5108582	5019282	4719468	4421358	180	408877	5267398	50.66	190807	120555	10	18	0.00
49989_2_301.assembly	224	113	68	58	40	31	5298457	5251248	5135575	5064337	4773613	4449314	154	333615	5278877	50.74	171240	75574	13	24	0.00
49989_2_80.assembly	123	69	49	41	28	23	5067578	5049251	5000961	4944488	4741926	4577233	82	622952	5058320	50.75	233499	123597	7	14	0.00
49989_1_361.assembly	240	104	58	44	30	22	5291754	5237718	5140788	5031729	4820037	4519102	146	404904	5266758	50.64	235789	153377	9	16	0.00
49937_1_351.assembly	121	69	49	46	37	29	4921360	4899207	4856544	4832398	4681634	4370681	88	284580	4913397	50.66	178468	112596	11	20	0.00
49990_1_252.assembly	133	66	43	38	26	20	5076479	5050425	4998973	4960886	4788114	4569277	86	581214	5064225	50.64	246032	159532	7	13	0.00
49990_2_113.assembly	70	40	28	28	26	22	5513647	5504100	5479503	5479503	5452676	5306081	45	733247	5507618	57.02	409529	204398	5	10	0.00
49989_1_353.assembly	108	60	43	37	28	22	4951835	4931052	4897027	4856433	4693439	4469630	78	735622	4943995	50.55	234173	132453	6	13	0.00
49937_1_311.assembly	93	54	32	28	22	18	5413012	5398995	5344011	5312461	5219433	5083688	65	799114	5406773	57.46	358820	275100	6	10	0.00
49947_1_116.assembly	150	85	59	48	33	29	5109446	5086158	5025093	4945585	4709283	4564414	104	378433	5098700	50.74	190796	108981	10	19	0.00
49989_2_200.assembly	210	86	50	40	27	21	5178423	5124537	5042491	4967832	4771846	4574871	135	588302	5158601	50.52	213260	128056	7	14	0.00
49989_2_147.assembly	247	92	56	48	37	26	5094294	5044439	4963276	4903915	4752262	4389333	125	562724	5067296	50.41	182404	100433	9	19	0.00
49990_2_70.assembly	117	64	41	31	25	19	5152775	5135294	5076714	5002845	4891890	4691057	77	786248	5144992	50.48	323212	172611	6	11	0.00
49947_1_212.assembly	146	82	51	46	32	23	5066839	5044366	4974909	4934864	4732430	4406805	95	372319	5053886	50.63	221962	137432	9	16	0.00
49947_1_190.assembly	170	97	66	55	43	29	5479331	5449524	5386781	5315117	5114448	4628501	122	720127	5466993	50.29	192453	84469	9	21	0.00
49937_1_186.assembly	159	80	54	46	31	26	5135720	5105686	5046300	4986983	4743967	4586272	105	371471	5122248	50.77	204871	108981	9	18	0.00
49989_2_31.assembly	241	101	59	52	40	31	5538624	5496152	5411268	5363199	5170373	4870824	129	362106	5515116	57.20	181094	100382	12	22	0.00
49989_2_69.assembly	256	88	61	57	44	26	5124939	5072121	5012093	4987297	4769485	4117959	114	439503	5090721	50.49	150058	79513	9	22	0.00
49989_2_374.assembly	159	94	60	53	45	29	4843802	4819847	4751145	4700757	4550347	3930191	111	412507	4832160	50.51	141508	59213	11	24	0.00
49989_1_113.assembly	142	72	47	42	27	22	5227503	5199183	5144637	5105826	4865086	4678217	93	517484	5213565	50.69	249607	171298	8	14	0.00
49937_1_292.assembly	96	42	31	26	25	19	5005131	4983582	4955605	4919156	4900384	4699789	61	726427	4997153	50.44	374472	196871	5	10	0.00
49989_1_354.assembly	116	62	40	33	25	18	4906084	4881305	4829174	4779497	4642812	4415130	84	882393	4898515	50.53	283148	167338	5	11	0.00
49937_1_149.assembly	152	74	48	41	29	22	5507915	5479467	5414348	5362352	5172756	4944017	89	709525	5490680	57.21	293471	151505	6	12	0.00
49989_2_274.assembly	54	33	23	22	22	13	4724005	4716632	4693855	4685870	4685870	4392215	37	790691	4719843	50.73	436454	333259	4	7	0.00
49947_1_352.assembly	238	116	76	69	49	34	5572916	5527487	5438276	5389710	5031432	4525233	150	293861	5550044	57.26	138539	78681	15	28	0.00
49947_1_126.assembly	128	79	56	46	30	27	5056474	5037694	4988602	4913618	4666767	4565040	93	450385	5048085	50.73	209201	116899	9	17	0.00
49990_2_55.assembly	101	57	33	29	26	19	5060025	5043379	4996592	4966724	4922623	4670214	72	730986	5054011	50.64	316823	147481	6	11	0.00
49989_2_187.assembly	144	71	48	44	29	22	5220895	5195828	5149185	5114101	4874794	4618197	88	527304	5206813	50.70	239962	136366	8	15	0.00
49990_2_71.assembly	133	65	43	38	33	26	5378528	5355660	5312551	5277469	5212356	4963927	83	610983	5367825	57.38	339062	108892	6	14	0.00
49989_2_91.assembly	117	70	40	28	20	18	5425203	5411332	5340257	5253540	5099253	5038930	76	793699	5415537	57.25	346278	261007	6	10	0.00
49989_2_364.assembly	163	85	56	49	35	25	5159632	5129375	5071225	5016429	4804706	4505956	109	632122	5145555	50.82	215875	108987	8	17	0.00
49947_1_384.assembly	129	64	41	35	30	22	4980204	4957917	4913221	4868743	4786029	4515973	77	453591	4967249	50.58	252789	129031	8	14	0.00
49989_2_182.assembly	167	98	71	65	49	34	5225385	5200438	5140474	5099222	4858043	4340178	114	357545	5211139	50.37	127482	66815	13	27	0.00
49989_2_134.assembly	87	49	35	33	27	19	5401387	5389849	5361024	5346272	5255706	4985264	55	1352486	5393864	57.47	318407	137926	5	10	0.00
49937_1_324.assembly	63	42	28	25	20	16	5217146	5209673	5174711	5158156	5061275	4926936	48	915545	5214008	57.56	431364	212537	4	9	0.00
49989_1_209.assembly	252	114	50	46	33	27	5351610	5294334	5147025	5115943	4911005	4691607	158	404914	5326038	50.60	239615	104094	9	19	0.00
49990_1_279.assembly	102	69	50	43	35	24	5355047	5342661	5298892	5242759	5094695	4698363	78	480315	5349111	57.29	252283	100622	8	15	0.00
49990_1_123.assembly	524	210	122	97	66	40	6078796	5977359	5772092	5584921	5070722	4162817	278	253957	6025984	56.41	78840	38246	23	49	0.00
49989_2_220.assembly	104	45	33	28	25	20	5176836	5150664	5127084	5093173	5058672	4892138	66	1258124	5166192	50.54	286218	136042	4	10	0.00
49989_1_158.assembly	99	44	27	22	20	16	5054860	5029029	4991380	4958817	4929170	4802256	68	799359	5047308	50.62	581835	246128	4	8	0.00
49989_1_349.assembly	155	69	44	39	31	25	5386404	5357062	5299577	5263372	5139759	4915711	92	897935	5372149	57.36	246820	93987	6	14	0.00
49937_1_279.assembly	95	58	36	33	26	23	5467728	5455821	5413438	5393460	5262487	5162407	65	590644	5461072	57.19	307140	146134	7	13	0.00
49937_1_164.assembly	133	68	45	41	32	22	5054696	5028067	4982633	4955612	4821245	4469788	91	491689	5044926	50.42	281758	112568	7	14	0.00
49947_1_318.assembly	619	619	123	25	3	0	2280018	2280018	1123005	448524	90270	0	619	33351	2280018	32.86	4914	2676	127	281	0.00
49989_2_92.assembly	151	57	29	24	18	16	5130777	5087339	5031879	4993895	4899204	4828165	96	597104	5114695	50.48	380130	232920	6	10	0.00
49989_1_123.assembly	64	39	34	33	32	26	4865513	4855293	4842958	4837508	4823341	4604392	46	603314	4860591	50.55	225714	114451	8	15	0.00
49990_2_293.assembly	67	45	38	36	31	23	5370507	5364169	5350370	5337745	5235831	4955247	49	597278	5367193	57.18	303481	140420	7	13	0.00
49947_1_214.assembly	109	61	40	32	27	20	5038867	5021444	4970202	4917503	4842106	4613027	73	997403	5030532	50.55	237085	161983	6	12	0.00
49989_1_184.assembly	194	98	66	54	36	28	5415439	5374033	5297426	5202286	4921990	4638694	130	365860	5397154	50.64	185462	108993	11	20	0.00
49990_2_309.assembly	74	32	20	19	19	12	4938392	4922639	4897955	4892266	4892266	4663105	44	1139838	4930690	50.44	402240	305877	4	7	0.00
49989_2_191.assembly	139	71	52	48	33	23	5088623	5062020	5019281	4988499	4769906	4406592	90	484526	5076648	50.58	213152	119740	8	16	0.00
49947_1_346.assembly	115	71	52	50	42	29	5498567	5484619	5443200	5429388	5270675	4797189	81	519702	5490611	57.13	179213	100991	11	20	0.00
49937_1_126.assembly	174	76	43	40	34	25	5104463	5063301	4996061	4974305	4887711	4563025	108	453405	5086577	50.71	191132	121070	9	16	0.00
49989_2_348.assembly	300	142	89	81	62	34	5573618	5513170	5402075	5352682	5055474	4126122	186	297080	5545997	57.20	99635	46166	17	35	0.00
49937_1_210.assembly	277	171	113	93	57	36	5148504	5109864	4978802	4836830	4235716	3506448	197	232153	5128782	50.43	78429	34792	22	45	0.00
49990_1_59.assembly	128	80	44	38	29	23	5799705	5781271	5708033	5659865	5493263	5294901	99	741863	5794405	56.62	309745	133506	6	13	0.00
49989_1_240.assembly	118	56	42	39	30	25	5219972	5193393	5162852	5137778	4993011	4835846	77	515945	5208936	50.57	230080	138923	8	15	0.00
49990_2_314.assembly	141	82	50	41	33	25	5091372	5065447	5000791	4940913	4784738	4513336	106	483484	5082140	53.86	204193	118973	9	17	0.00
49937_1_215.assembly	159	84	46	37	31	27	5695221	5669552	5578985	5511859	5407628	5281258	99	516291	5680798	57.03	262837	137795	8	16	0.00
49989_2_322.assembly	197	76	55	44	29	24	4960966	4916607	4872307	4793991	4573816	4404187	104	602541	4935767	50.73	190833	119688	8	16	0.00
49989_2_315.assembly	188	81	48	40	28	23	5139127	5094708	5024301	4966837	4782755	4604742	115	511970	5118809	50.81	209200	123597	8	15	0.00
49990_2_43.assembly	90	61	45	42	37	32	5388850	5379022	5351478	5325903	5226160	5020381	69	540949	5383708	57.32	206059	97710	9	19	0.00
49947_1_64.assembly	125	71	50	42	28	23	5067500	5048998	4999392	4942919	4730243	4565550	84	622947	5058131	50.75	222270	123597	7	14	0.00
49989_1_311.assembly	252	106	63	52	36	27	5158514	5094951	4994497	4916199	4660905	4360306	164	411996	5135725	50.36	207385	88507	9	20	0.00
49937_1_124.assembly	191	97	63	52	33	27	5029552	4993444	4915348	4836929	4559435	4362740	127	357472	5013294	50.73	190808	81967	9	19	0.00
49989_2_178.assembly	120	73	50	43	31	22	5029326	5011623	4959410	4913892	4686357	4368841	86	626291	5020948	50.75	215959	108987	7	15	0.00
49989_1_259.assembly	105	69	45	40	37	22	4960205	4948033	4892060	4859965	4809695	4249287	80	513957	4955390	50.51	233805	110714	8	16	0.00
49989_2_222.assembly	133	75	50	44	31	21	5279603	5257591	5205279	5163159	4944811	4609154	95	622954	5270837	50.75	281147	123597	7	14	0.00
49990_2_318.assembly	135	80	46	35	31	24	5073768	5051100	4978810	4906505	4833589	4585781	99	696785	5065013	50.80	228124	119545	8	15	0.00
49947_1_155.assembly	91	55	37	31	27	20	5409661	5397635	5358111	5312194	5234083	5022973	61	604430	5402199	57.25	307615	181588	7	13	0.00
49990_2_195.assembly	217	137	88	76	54	32	4896100	4866818	4752483	4673598	4329118	3542879	156	217812	4880371	50.92	97758	45968	18	35	0.00
49989_2_346.assembly	206	89	45	36	28	23	5163393	5110929	5007592	4940095	4825442	4653623	137	358716	5144756	50.46	251067	128316	9	16	0.00
49947_1_215.assembly	186	95	59	52	39	29	5699566	5667090	5586178	5539529	5333334	5015701	112	477331	5680307	57.24	210248	99275	9	19	0.00
49989_2_333.assembly	76	41	27	27	24	18	4963352	4950921	4922912	4922912	4871327	4671167	52	596787	4958337	50.56	370176	193330	6	11	0.00
49990_2_280.assembly	138	83	62	53	43	28	4841687	4820482	4767440	4700460	4558912	4015041	101	371119	4832729	50.65	140647	76306	12	22	0.00
49937_1_310.assembly	185	92	62	54	39	29	5023216	4987270	4923003	4863411	4645528	4299040	120	367383	5006422	50.74	174220	85406	11	21	0.00
49989_2_312.assembly	205	85	56	49	40	32	5119400	5074778	5002732	4953269	4824559	4549517	120	325279	5098194	50.79	138383	105764	13	23	0.00
49990_1_314.assembly	78	51	32	26	20	17	5371738	5360151	5315845	5272216	5177034	5088388	62	1092744	5367619	57.50	414585	322640	4	8	0.00
49989_1_21.assembly	84	47	31	28	26	19	4568197	4555865	4521199	4500843	4451082	4212481	53	518165	4560194	50.81	342127	136491	6	11	0.00
49989_2_290.assembly	286	79	54	45	39	29	5212209	5148749	5088993	5018179	4912341	4565303	106	347892	5167634	50.61	185983	97738	10	20	0.00
49937_1_163.assembly	154	78	57	47	33	28	5215028	5184432	5132717	5056844	4806316	4617470	102	515318	5201469	50.63	190808	95117	9	18	0.00
49989_1_348.assembly	159	72	46	37	28	17	5120489	5082425	5023997	4959514	4831214	4466836	107	577121	5106563	50.44	317825	138401	6	12	0.00
49947_1_350.assembly	194	91	64	58	44	28	5111411	5077865	5018475	4977148	4765589	4197612	109	355229	5090032	50.66	135449	85339	11	23	0.00
49990_2_83.assembly	180	113	77	63	51	34	4943541	4922797	4833237	4726349	4539192	3900407	122	270650	4929676	50.63	111283	61782	16	31	0.00
49937_1_196.assembly	121	62	42	41	36	27	5368295	5349018	5303295	5295030	5213856	4913521	75	437868	5357974	57.46	221122	127818	9	17	0.00
49989_1_289.assembly	81	52	37	34	30	23	5393519	5382547	5350133	5329927	5271696	5038362	59	507449	5387705	57.26	294393	166134	7	13	0.00
49989_1_130.assembly	196	86	52	42	32	21	5212141	5165968	5088391	5012895	4871015	4487662	125	658248	5191864	50.36	213899	113013	7	14	0.00
49990_2_263.assembly	107	48	28	26	21	17	5474286	5452874	5406881	5396075	5321244	5181563	64	783521	5464060	57.34	349583	235608	5	10	0.00
49989_2_197.assembly	133	62	42	39	27	22	4991668	4965544	4920604	4896694	4723025	4554126	81	452012	4978860	50.67	232979	159532	8	15	0.00
49937_1_187.assembly	193	92	51	42	34	27	5683896	5653381	5552586	5485794	5347691	5091842	105	515605	5662711	57.03	214625	124193	9	18	0.00
49989_2_195.assembly	136	82	61	51	32	28	5116639	5097888	5051826	4976716	4677796	4541710	96	524561	5107794	50.75	197282	100668	9	18	0.00
49990_2_81.assembly	148	83	55	48	35	28	5141442	5115364	5056587	5003873	4819245	4609763	106	509385	5131381	50.82	173578	108987	9	18	0.00
49947_1_154.assembly	181	75	53	46	37	28	5148259	5109881	5062864	5010429	4853005	4534230	101	463684	5127472	50.52	168382	91784	8	19	0.00
49990_1_148.assembly	220	80	43	35	29	21	5118575	5064002	4974431	4916729	4809733	4535385	122	635474	5093333	50.59	237084	125079	7	14	0.00
49989_2_48.assembly	176	78	43	36	26	20	5234822	5192324	5104929	5055277	4891688	4671100	114	621229	5216518	50.45	267916	148259	6	13	0.00
49989_1_56.assembly	79	50	35	33	24	20	5353418	5344283	5313103	5300527	5130554	5002727	56	839216	5348387	57.37	310673	190111	7	12	0.00
49989_1_19.assembly	186	95	58	47	33	23	5065752	5026673	4940475	4861799	4643698	4271440	128	567277	5049392	50.52	234339	99402	7	16	0.00
49989_2_260.assembly	273	112	61	50	31	26	5322176	5253463	5146874	5064772	4767426	4592133	166	370448	5292970	50.63	189253	123568	10	19	0.00
49989_2_9.assembly	312	140	76	65	48	32	5293419	5229684	5100506	5021019	4731410	4147130	186	283551	5261954	50.75	111714	59399	14	29	0.00
49989_2_124.assembly	128	73	51	43	29	24	5067582	5048901	4998490	4942017	4731322	4566627	86	622952	5057970	50.75	222271	116898	7	15	0.00
49947_1_308.assembly	353	134	72	58	41	30	5437325	5345358	5199838	5101240	4827608	4419124	204	524407	5397011	50.45	144845	67729	12	24	0.00
49947_1_313.assembly	231	81	40	35	30	22	5100147	5043882	4942592	4908877	4818590	4544237	122	635474	5072618	50.56	237084	125080	7	14	0.00
49989_2_372.assembly	128	71	48	44	29	25	5291758	5268190	5214687	5187341	4985499	4855350	89	420878	5280888	50.65	209196	160959	9	17	0.00
49937_1_89.assembly	120	69	41	36	30	24	5568775	5548571	5491762	5452643	5363232	5183222	85	590605	5559845	57.21	302307	141204	7	14	0.00
49937_1_331.assembly	122	76	54	54	45	32	5545193	5531323	5480960	5480960	5304392	4832875	85	519584	5536864	57.17	162468	95042	11	23	0.00
49990_1_380.assembly	234	146	96	77	53	36	5370201	5339963	5229635	5091790	4710026	4130736	168	296812	5356030	57.32	99547	55784	17	34	0.00
49947_1_30.assembly	290	100	55	46	35	26	5216894	5141978	5028236	4967483	4782759	4434648	158	365712	5181845	50.71	165910	111558	11	20	0.00
49990_2_281.assembly	222	92	57	42	30	23	5144225	5091295	5013694	4901217	4709099	4474728	131	476040	5119866	50.47	202436	124951	9	17	0.00
49990_2_192.assembly	165	71	43	40	31	24	5383309	5350073	5287630	5265992	5116250	4873039	90	708258	5363089	50.42	349292	107741	6	12	0.00
49989_2_172.assembly	138	76	54	47	36	28	5191545	5167870	5118348	5062723	4893876	4601317	92	341820	5179716	50.72	175297	123597	11	20	0.00
49947_1_182.assembly	178	75	53	46	36	27	5148208	5109977	5062951	5010465	4835888	4534938	102	463684	5128401	50.52	168382	92288	8	18	0.00
49990_1_340.assembly	219	96	65	54	33	25	5361150	5309351	5245283	5160060	4821401	4533417	147	393599	5342413	50.69	190808	109030	10	19	0.00
49990_2_42.assembly	141	85	51	46	31	25	5211502	5191803	5130467	5095440	4870474	4644033	101	611122	5202544	50.73	206044	123597	8	16	0.00
49937_1_218.assembly	1	1	1	1	1	1	166613	166613	166613	166613	166613	166613	1	166613	166613	35.41	166613	166613	1	1	0.00
49989_1_192.assembly	179	76	43	37	32	22	5011883	4972388	4898576	4852390	4766776	4416485	104	828209	4991108	50.80	230114	100256	6	14	0.00
49989_1_58.assembly	62	37	28	28	26	21	5120456	5113945	5090498	5090498	5059160	4883392	40	751280	5115972	57.59	374751	137298	5	11	0.00
49990_1_256.assembly	198	96	66	59	40	28	5014321	4974432	4910249	4859030	4576906	4144022	127	349971	4996223	50.73	174220	76210	11	22	0.00
49990_1_346.assembly	110	66	51	48	41	28	5500636	5486455	5455214	5434898	5298993	4821977	76	519702	5492844	57.13	202584	100991	10	19	0.00
49937_1_247.assembly	104	57	39	34	27	20	5470133	5451691	5412475	5373774	5249702	5001774	73	677893	5462675	57.33	339795	172973	6	12	0.00
49990_2_138.assembly	260	90	45	40	29	24	5200275	5130012	5026699	4992537	4809972	4632674	135	593963	5164828	50.51	202436	124497	7	15	0.00
49989_2_45.assembly	309	119	71	61	47	29	5522725	5454851	5346660	5274511	5055619	4417382	174	380814	5491563	50.26	162396	68885	11	24	0.00
49990_1_253.assembly	121	70	49	41	29	23	5067776	5050034	5000428	4943955	4759469	4565817	84	622947	5059605	50.75	223039	123597	7	14	0.00
49947_1_59.assembly	154	93	52	42	31	24	5791217	5767843	5683103	5605403	5405277	5154038	112	741632	5781714	56.62	293994	100264	6	14	0.00
49989_2_27.assembly	75	47	35	32	28	22	5313670	5303363	5275695	5255373	5197649	4995878	54	585987	5308588	57.43	294393	166134	7	13	0.00
49989_2_73.assembly	104	59	38	34	28	21	5130454	5113991	5065653	5039825	4942271	4713066	71	790362	5122901	50.45	237085	161983	7	13	0.00
49990_2_270.assembly	143	78	51	44	31	23	5278071	5251770	5196008	5144697	4955383	4665274	101	400130	5267230	50.68	226830	147713	9	16	0.00
49990_1_250.assembly	338	141	82	68	48	31	5343250	5268742	5138970	5038003	4709783	4059936	197	381737	5306745	50.54	102499	53574	14	30	0.00
49989_1_146.assembly	63	31	23	23	21	18	5285754	5275353	5257009	5257009	5225426	5119116	38	1033996	5280502	57.41	349749	243853	5	10	0.00
49947_1_276.assembly	129	75	51	42	31	25	5065783	5045508	4989778	4926927	4759457	4561190	91	619721	5056924	50.75	212398	116898	8	15	0.00
49990_2_72.assembly	177	92	52	44	30	24	5209673	5173180	5092038	5041847	4830479	4623919	125	532769	5196424	50.76	226644	111025	8	16	0.00
49989_2_254.assembly	104	64	42	36	29	26	5545529	5529615	5481589	5444186	5306731	5202432	79	581132	5540357	57.17	265135	132905	7	15	0.00
49990_1_28.assembly	143	78	48	41	26	22	5187123	5159718	5093048	5041249	4808948	4679144	103	511929	5177141	50.74	209199	136366	8	15	0.00
49989_1_94.assembly	171	98	66	59	46	32	5117283	5086756	5013560	4959724	4757620	4232619	125	376454	5106749	50.81	135385	75823	12	25	0.00
49989_2_60.assembly	161	85	55	48	33	25	5261248	5231164	5169960	5121519	4871093	4613876	108	583319	5247541	50.69	206041	89921	7	17	0.00
49989_2_150.assembly	228	98	54	46	33	24	5334329	5278423	5188593	5127457	4920439	4609654	144	442593	5311560	50.70	211032	134008	9	17	0.00
49989_1_282.assembly	108	58	37	34	30	26	5483099	5464050	5412695	5392428	5308161	5190957	70	548098	5472808	57.38	257574	167338	8	14	0.00
49937_1_133.assembly	233	103	56	46	34	29	5125340	5072010	4961663	4891317	4687414	4516219	146	337199	5103040	50.69	158935	111614	12	21	0.00
49937_1_308.assembly	173	85	45	39	30	23	5237459	5199615	5104668	5065408	4932179	4722973	117	453129	5222271	50.61	250899	130344	8	15	0.00
49989_2_313.assembly	130	71	50	42	29	24	5062022	5042345	4992316	4932438	4739515	4574820	85	620717	5052019	50.76	212399	116898	8	15	0.00
49937_1_30.assembly	250	107	59	45	33	27	5580007	5528322	5409510	5310213	5094415	4904864	138	709269	5550663	57.12	202580	100224	8	17	0.00
49989_2_169.assembly	195	80	47	36	31	23	5122489	5076459	5000333	4915026	4824409	4545076	116	491984	5102234	50.60	222062	125082	8	16	0.00
49989_2_345.assembly	188	84	48	40	29	25	5254294	5212872	5137945	5076182	4923799	4770428	116	484272	5235258	50.62	215875	123597	8	16	0.00
49989_1_303.assembly	108	64	47	43	35	25	4997221	4978344	4941436	4906230	4792700	4463256	78	735179	4988803	50.51	196539	103144	7	16	0.00
49990_2_308.assembly	131	77	45	35	31	24	5075554	5053575	4986333	4914934	4856207	4608408	96	696785	5067269	50.80	228124	119545	8	15	0.00
49989_1_28.assembly	133	76	43	37	25	20	5081480	5057175	4996669	4953873	4779321	4605671	98	804112	5072810	50.32	331872	125241	5	12	0.00
49937_1_199.assembly	90	54	32	31	27	21	5534136	5522508	5480854	5470967	5384908	5165419	58	935145	5525757	57.00	320525	185719	6	12	0.00
49937_1_332.assembly	341	129	74	59	42	34	5624852	5552075	5443503	5325699	5020194	4747434	176	303895	5585687	57.05	151530	85817	14	26	0.00
49989_1_48.assembly	157	64	40	35	26	21	5233805	5195889	5136821	5102764	4975954	4798655	90	618935	5216178	50.61	331969	159190	6	12	0.00
49989_2_349.assembly	130	67	49	40	29	23	5021914	5001242	4952861	4888842	4711470	4518604	81	622952	5010857	50.77	222270	123597	7	14	0.00
49989_2_299.assembly	257	162	107	89	54	31	4963282	4923031	4794703	4671715	4106168	3248278	198	208675	4949354	51.03	86586	37621	19	42	0.00
49989_1_288.assembly	143	84	52	46	36	22	5435746	5413444	5341713	5298763	5118990	4609194	100	532549	5425675	57.42	211434	129193	9	16	0.00
49990_1_124.assembly	128	71	48	46	31	28	4917172	4897400	4850085	4834505	4606074	4499285	84	412133	4905747	50.69	189417	107894	9	18	0.00
49990_1_94.assembly	119	74	53	42	30	27	5117272	5100200	5053324	4969914	4792691	4695054	87	524561	5109455	50.75	209197	116899	9	17	0.00
49989_2_17.assembly	103	61	42	37	31	25	5476862	5465833	5426999	5390686	5290843	5067594	66	953755	5469794	57.23	266469	114720	7	14	0.00
49937_1_183.assembly	111	60	38	34	28	25	5505202	5485329	5438364	5407744	5322468	5233628	76	590605	5496868	57.26	302308	141204	7	14	0.00
49937_1_67.assembly	80	48	34	30	27	20	5407035	5396523	5367006	5336554	5294224	5074203	56	628866	5401804	57.25	307615	199630	7	12	0.00
